Date,HolidayName,Country
1/1/2023,New Year's Day,United States
1/16/2023,Martin Luther King Jr. Day,United States
2/14/2023,Valentine's Day,United States
2/20/2023,Presidents' Day,United States
4/9/2023,Easter Sunday,United States
5/29/2023,Memorial Day,United States
6/19/2023,Juneteenth National Independence Day,United States
7/4/2023,Independence Day,United States
9/4/2023,Labor Day,United States
10/9/2023,Columbus Day,United States
10/31/2023,Halloween,United States
11/10/2023,Veterans Day,United States
11/23/2023,Thanksgiving Day,United States
11/24/2023,Black Friday,United States
12/25/2023,Christmas Day,United States
1/1/2024,New Year's Day,United States
1/15/2024,Martin Luther King Jr. Day,United States
2/14/2024,Valentine's Day,United States
2/19/2024,Presidents' Day,United States
3/31/2024,Easter Sunday,United States
5/27/2024,Memorial Day,United States
6/19/2024,Juneteenth National Independence Day,United States
7/4/2024,Independence Day,United States
9/2/2024,Labor Day,United States
10/14/2024,Columbus Day,United States
10/31/2024,Halloween,United States
11/11/2024,Veterans Day,United States
11/28/2024,Thanksgiving Day,United States
11/29/2024,Black Friday,United States
12/25/2024,Christmas Day,United States
